,sub_label,obj_label,subj_anchors
14,ashtray,"['glass', 'metal', 'dirty', 'plastic', 'circular', 'round', 'heavy', 'small', 'solid', 'useful', 'rectangular', 'square']","['candles', 'glass', 'paper']"
15,asparagus,"['green', 'long', 'thin', 'delicious', 'eaten', 'edible', 'healthy', 'expensive', 'boiled', 'food', 'grown', 'seasonal', 'hard']","['tobacco', 'cotton', 'beans']"
16,aspirin,"['white', 'small', 'medicine', 'medication', 'swallowed', 'circular', 'round', 'dangerous', 'soluble', 'useful', 'hard', 'prescribed', 'sold', 'bought', 'purchased']","['ethanol', 'water', 'glucose']"
17,aubergine,"['purple', 'cooked', 'eaten', 'edible', 'shiny', 'green', 'long', 'food', 'large', 'big', 'disgusting', 'healthy', 'black', 'grown', 'fried', 'alive', 'dark']","['orange', 'chocolate', 'apples']"
18,avocado,"['green', 'soft', 'eaten', 'edible', 'delicious', 'healthy', 'fatty', 'food', 'foreign', 'grown', 'cooked', 'black', 'expensive', 'smooth', 'disgusting']","['coffee', 'tomato', 'orange']"
19,axe,"['heavy', 'sharp', 'dangerous', 'lethal', 'swung', 'dense', 'powerful', 'shiny', 'useful', 'historical', 'strong']","['sword', 'spear', 'hammer']"
20,bacon,"['fatty', 'pink', 'fried', 'eaten', 'edible', 'meat', 'breakfast', 'delicious', 'smoked', 'cooked', 'pork', 'strips', 'food', 'cured', 'thin', 'crisp', 'sliced']","['eggs', 'milk', 'cheese']"
21,badge,"['worn', 'small', 'circular', 'round', 'decorative', 'decorated', 'attached', 'identifying', 'advertising', 'flat', 'awarded', 'shiny', 'rectangular', 'square']","['cap', 'collar', 'ribbon']"
22,bag,"['useful', 'practical', 'fashionable', 'small', 'big', 'large', 'carried', 'worn', 'spacious']","['belt', 'chain', 'box']"
23,bagpipes,"['Scottish', 'noisy', 'loud', 'played', 'traditional', 'blown', 'annoying', 'unpopular', 'unusual']","['drums', 'pipes', 'horns']"
24,ball,"['round', 'circular', 'bouncing', 'bounced', 'sport', 'spherical', 'kicked', 'thrown', 'rolled', 'entertaining', 'fun', 'caught', 'played', 'small', 'hit', 'hard', 'big', 'large', 'coloured', 'black', 'white']","['stick', 'net', 'basket']"
25,balloon,"['colours', 'coloured', 'popped', 'spherical', 'circular', 'round', 'fun', 'lightweight', 'light', 'entertaining', 'elastic', 'decorative', 'decoration', 'shapes', 'shaped', 'transport', 'delicate', 'soft', 'smooth', 'red', 'fragile']","['radio', 'cable', 'plane']"
26,banana,"['yellow', 'curved', 'bent', 'eaten', 'edible', 'healthy', 'tropical', 'green', 'peeled', 'soft', 'long', 'black', 'sweet', 'brown', 'smooth']","['coffee', 'sugar', 'cotton']"
27,barge,"['long', 'big', 'large', 'pulled', 'thin', 'narrow', 'painted', 'decorated', 'heavy', 'slow', 'towed', 'transport', 'ugly']","['ship', 'boat', 'wagon']"
28,barrel,"['wooden', 'circular', 'round', 'rounded', 'rolled', 'big', 'large', 'heavy', 'curved', 'brown', 'hollow', 'useful']","['bolt', 'stock', 'hammer']"
29,basin,"['circular', 'round', 'rounded', 'metal', 'white', 'cold', 'filled', 'shiny', 'smooth', 'useful', 'big', 'large']","['bowl', 'sink', 'pipe']"
30,basket,"['carried', 'metal', 'woven', 'light', 'useful', 'lightweight', 'plastic', 'old', 'brown', 'rigid', 'strong']","['net', 'belt', 'thread']"
31,bath,"['filled', 'relaxing', 'white', 'ceramic', 'hot', 'big', 'large', 'long', 'cold', 'hard', 'smooth', 'circular', 'round']","['cooking', 'toilet', 'washing']"
32,bayonet,"['sharp', 'metallic', 'historical', 'old', 'traditional', 'pointed', 'dangerous', 'deadly', 'lethal', 'long', 'cruel', 'brutal', 'French', 'hard', 'shiny']","['knife', 'sword', 'helmet']"
33,bean,"['small', 'eaten', 'edible', 'green', 'round', 'circular', 'baked', 'food', 'grown', 'healthy', 'cooked', 'long', 'broad', 'narrow', 'thin', 'hard', 'brown', 'boiled', 'soft', 'white', 'fresh', 'dried', 'coffee']","['corn', 'squash', 'nut']"
34,bear,"['hairy', 'big', 'large', 'brown', 'fish', 'predatory', 'black', 'scary', 'intimidating', 'frightening', 'white', 'dangerous', 'aggressive', 'polar', 'wild', 'fierce', 'vicious', 'powerful', 'warm']","['deer', 'squirrel', 'pig']"
35,beaver,"['hairy', 'brown', 'aquatic', 'small', 'cute', 'adorable', 'ugly', 'clever', 'intelligent']","['deer', 'sheep', 'hunter']"
36,bed,"['comfortable', 'comforting', 'soft', 'warm', 'sizes', 'furniture', 'long', 'rectangular', 'square']","['breakfast', 'bathroom', 'chairs']"
37,bee,"['yellow', 'black', 'striped', 'small', 'dangerous', 'scary', 'alive', 'busy', 'circular', 'round']","['butterfly', 'spider', 'fly']"
38,beer,"['alcoholic', 'drunk', 'consumed', 'brown', 'cold', 'liquid', 'sold', 'bought', 'yellow', 'orange', 'served', 'bitter', 'popular', 'ale', 'strong', 'clear', 'transparent']","['wine', 'tobacco', 'food']"
39,beetle,"['black', 'small', 'alive', 'shiny', 'colours', 'colour', 'hard']","['fish', 'spider', 'fly']"
40,bell,"['metallic', 'metal', 'noisy', 'loud', 'big', 'large', 'struck', 'musical', 'round', 'circular', 'hit', 'percussion', 'small', 'rounded', 'heavy', 'shiny', 'hollow', 'hard', 'golden', 'suspended']","['whistle', 'clock', 'hammer']"
41,belt,"['leather', 'long', 'useful', 'functional', 'clothing', 'worn', 'decorative', 'thin', 'fashionable', 'elastic', 'smart']","['sword', 'knife', 'chain']"
42,bench,"['wooden', 'metal', 'outside', 'outdoors', 'engraved', 'hard', 'long', 'furniture', 'uncomfortable', 'solid', 'flat', 'sturdy']","['table', 'board', 'chairs']"
43,bicycle,"['transport', 'fast', 'Cambridge', 'ridden', 'useful', 'dangerous', 'entertaining', 'fun']","['car', 'bike', 'foot']"
44,bikini,"['worn', 'revealing', 'small', 'exposing', 'tiny', 'clothing', 'clothes', 'tied', 'sexy', 'cold', 'pretty', 'attractive', 'beautiful']","['shorts', 'underwear', 'bra']"
45,bin,"['plastic', 'metal', 'circular', 'round', 'useful', 'collected', 'dirty', 'emptied', 'rectangular', 'square', 'hollow']","['chain', 'bag', 'box']"
46,birch,"['tall', 'silver', 'thin', 'skinny', 'slender', 'alive', 'living', 'big', 'large', 'pretty', 'attractive', 'beautiful']","['oak', 'gum', 'cotton']"
47,biscuit,"['edible', 'eaten', 'nice', 'delicious', 'sweet', 'food', 'fatty', 'baked', 'circular', 'round', 'soft', 'flat', 'small', 'brown', 'snapped', 'sold', 'bought']","['cheese', 'bread', 'flour']"
48,blender,"['electric', 'electrical', 'noisy', 'loud', 'dangerous', 'fast', 'strong', 'messy', 'sharp', 'useful']","['fridge', 'filter', 'kitchen']"
49,blouse,"['feminine', 'clothing', 'worn', 'smart', 'light', 'lightweight', 'white', 'loose']","['skirt', 'trousers', 'pants']"
50,blueberry,"['blue', 'small', 'sweet', 'round', 'circular', 'delicious', 'eaten', 'edible', 'expensive', 'sour', 'sharp', 'acidic', 'healthy', 'spherical', 'food', 'picked', 'soft']","['orange', 'tomato', 'grape']"
51,boat,"['transport', 'big', 'large', 'small']","['ship', 'canoe', 'sail']"
52,bolts,"['small', 'strong', 'useful', 'circular', 'round', 'handy', 'rounded', 'heavy', 'rigid', 'sold', 'bought']","['nails', 'nuts', 'chains']"
53,bomb,"['explosive', 'dangerous', 'destructive', 'scary', 'frightening', 'painful', 'noisy', 'loud', 'bad', 'nuclear', 'horrible', 'atomic', 'heavy', 'forbidden', 'illegal']","['explosives', 'missile', 'gun']"
54,bone,"['broken', 'strong', 'cells', 'long', 'structural', 'important', 'complex', 'rigid', 'solid', 'yellow', 'healed', 'replaced', 'intricate']","['muscle', 'skin', 'flesh']"
55,book,"['read', 'enjoyable', 'entertaining', 'entertainment', 'paperback', 'fact', 'rectangular', 'square', 'fiction', 'educational', 'written', 'heavy', 'interesting', 'useful', 'published', 'small', 'bound']","['paper', 'magazine', 'books']"
56,bookcase,"['wooden', 'wood', 'shelves', 'furniture', 'tall', 'big', 'large', 'useful', 'heavy', 'display', 'strong', 'displaying', 'sturdy', 'brown', 'hard', 'long']","['shelves', 'shelf', 'books']"
57,boomerang,"['wood', 'wooden', 'thrown', 'curved', 'bent', 'Australian', 'plastic', 'fun', 'entertaining', 'enjoyed', 'light', 'decorated', 'painted', 'triangular', 'thin', 'small', 'hard', 'flat']","['guitar', 'drum', 'rope']"
58,bottle,"['glass', 'plastic', 'clear', 'transparent', 'round', 'green', 'light', 'dangerous', 'hollow', 'long', 'upright', 'useful']","['glass', 'cup', 'pipe']"
59,bouquet,"['pretty', 'attractive', 'beautiful', 'expensive', 'romantic', 'sold', 'bought', 'wrapped', 'arranged', 'thrown', 'carried', 'big', 'large']","['flowers', 'flower', 'cake']"
60,bowl,"['circular', 'round', 'ceramic', 'useful', 'hard', 'decorative', 'hollow', 'smooth']","['cup', 'spoon', 'plate']"
61,box,"['cardboard', 'cubic', 'rectangular', 'square', 'useful', 'heavy', 'stacked', 'light', 'strong', 'sturdy', 'hollow', 'small', 'sizes']","['board', 'bag', 'case']"
62,bracelet,"['worn', 'decorative', 'feminine', 'pretty', 'attractive', 'beautiful', 'circular', 'round', 'silver', 'gold', 'expensive', 'shiny', 'fashionable', 'small']","['chain', 'ring', 'belt']"
63,brandy,"['alcoholic', 'drunk', 'alcohol', 'brown', 'golden', 'liquid', 'strong', 'potent', 'lit', 'medicinal', 'sweet', 'yellow', 'disgusting', 'sold']","['wine', 'vodka', 'coffee']"
64,bread,"['flour', 'yeast', 'food', 'edible', 'eaten', 'baked', 'white', 'brown', 'water', 'soft', 'rise', 'sliced', 'sold', 'bought', 'cooked', 'cut', 'filling', 'seeded']","['cheese', 'butter', 'wine']"
65,brick,"['heavy', 'red', 'hard', 'tough', 'ceramic', 'rectangular', 'square', 'rough', 'brown', 'tan', 'fired', 'small', 'solid', 'yellow', 'grey', 'strong']","['stone', 'steel', 'concrete']"
66,bridge,"['crossed', 'strong', 'sturdy', 'supportive', 'high', 'tall', 'big', 'large', 'useful', 'long', 'pretty', 'attractive', 'beautiful', 'designed', 'pathway', 'infrastructure', 'built']","['canal', 'water', 'building']"
67,broccoli,"['green', 'eaten', 'edible', 'healthy', 'cooked', 'boiled', 'food']","['tomato', 'corn', 'cheese']"
68,broom,"['wooden', 'long', 'tall', 'useful', 'light']","['comb', 'bucket', 'brush']"
69,brush,"['soft', 'dirty', 'small', 'useful', 'hairy']","['paint', 'pencil', 'paper']"
70,bucket,"['plastic', 'circular', 'round', 'hollow', 'useful', 'carried', 'heavy', 'sizes']","['net', 'basket', 'board']"
71,buckle,"['metal', 'metallic', 'belt', 'useful', 'functional', 'shiny', 'rectangular', 'square', 'hard', 'tightened', 'secure', 'clothing', 'heavy']","['belt', 'chain', 'strap']"
72,budgie,"['small', 'tiny', 'yellow', 'stupid', 'noisy', 'loud', 'blue', 'cute', 'happy', 'cheerful']","['roll', 'squash', 'cheese']"
73,buffalo,"['hairy', 'big', 'large', 'brown', 'wild', 'aggressive', 'dangerous', 'black', 'heavy']","['cattle', 'sheep', 'horses']"
74,buggy,"['pushed', 'transport', 'big', 'large', 'expensive', 'bought', 'light', 'small', 'useful', 'colours']","['wagon', 'horse', 'carriage']"
75,bullet,"['metal', 'metallic', 'shot', 'fired', 'deadly', 'fatal', 'lethal', 'small', 'dangerous', 'harmful', 'hard', 'circular', 'round', 'fast', 'pointed', 'smooth', 'painful', 'black', 'shiny', 'ammunition']","['shell', 'bone', 'bolt']"
76,butter,"['yellow', 'fatty', 'fat', 'spread', 'food', 'melted', 'dairy', 'eaten', 'edible', 'solid', 'rectangular', 'square', 'smooth', 'soft', 'hard', 'slippery', 'white', 'wrapped']","['sugar', 'cheese', 'cream']"
77,butterfly,"['coloured', 'pretty', 'attractive', 'beautiful', 'flowers', 'light', 'small', 'fragile', 'delicate', 'alive']","['spider', 'bee', 'birds']"
78,button,"['plastic', 'circular', 'round', 'small', 'useful', 'functional', 'pressed', 'shaped', 'attached', 'cute', 'flat', 'hard', 'lost']","['switch', 'buttons', 'key']"
79,buzzard,"['big', 'large', 'brown', 'alive', 'pretty', 'attractive', 'beautiful', 'living', 'stunning', 'rare']","['hawk', 'swift', 'black']"
80,cabbage,"['green', 'round', 'edible', 'eaten', 'circular', 'cooked', 'healthy', 'red', 'grown', 'white', 'food', 'nasty', 'disgusting', 'bitter', 'small', 'big', 'large']","['corn', 'vegetables', 'beans']"
81,cage,"['trapping', 'cruel', 'locked', 'small', 'secure', 'rectangular', 'square', 'big', 'large', 'uncomfortable', 'clear', 'transparent']","['ring', 'gate', 'wire']"
82,cake,"['delicious', 'eaten', 'edible', 'consumed', 'baked', 'sweet', 'soft', 'circular', 'round', 'decorative', 'decorated', 'layered', 'food', 'fatty', 'moist', 'filling']","['chocolate', 'coffee', 'dessert']"
83,calf,"['young', 'small', 'cute', 'black', 'weak', 'vulnerable', 'edible', 'eaten', 'hairy', 'white', 'brown', 'killed', 'growing', 'alive', 'living', 'heavy', 'delicious', 'strong']","['cow', 'cattle', 'foot']"
84,camel,"['hairy', 'ridden', 'brown', 'angry', 'big', 'large', 'nasty', 'rude', 'violent', 'yellow', 'tall']","['horse', 'sheep', 'deer']"
85,camera,"['metal', 'digital', 'electric', 'electronic', 'electrical', 'small', 'expensive', 'technical', 'technology', 'equipment', 'rectangular', 'useful', 'sold', 'bought', 'hard', 'carried', 'black', 'portable', 'held', 'square']","['microphone', 'computer', 'radio']"
86,canary,"['yellow', 'small', 'noisy', 'loud', 'cute', 'bright', 'alive', 'pretty', 'attractive', 'beautiful', 'living']","['deer', 'rabbit', 'horse']"
87,candle,"['lit', 'hot', 'flaming', 'romantic', 'sexy', 'long', 'white', 'tall', 'atmospheric', 'old', 'dangerous', 'useful', 'shapes', 'hopeful', 'peaceful', 'dim', 'decorated']","['lamp', 'light', 'candles']"
88,cannon,"['metal', 'fired', 'heavy', 'noisy', 'loud', 'old', 'big', 'large', 'dangerous', 'black', 'long']","['ammunition', 'guns', 'knives']"
89,canoe,"['long', 'thin', 'transport', 'transportation', 'light', 'entertaining', 'fun']","['boat', 'rope', 'sail']"
90,cap,"['worn', 'protective', 'clothing', 'clothes', 'flat', 'circular', 'round', 'fashion', 'little', 'American', 'cool', 'small', 'useful', 'practical', 'soft', 'warm', 'comfortable', 'casual', 'informal']","['tie', 'skirt', 'bottle']"
91,cape,"['worn', 'tied', 'attached', 'long', 'flowing', 'clothing', 'warm', 'big', 'large', 'black', 'fashionable', 'light', 'mysterious', 'red']","['helmet', 'hat', 'cap']"
92,car,"['metal', 'transport', 'transportation', 'driven', 'fast', 'useful', 'expensive', 'shiny', 'noisy', 'loud', 'easy']","['vehicle', 'trucks', 'radio']"
93,caravan,"['mobile', 'towed', 'pulled', 'cramped', 'big', 'large', 'compact', 'crowded', 'white', 'expensive', 'heavy', 'small', 'static', 'cheap', 'slow', 'useful']","['transport', 'ship', 'car']"
94,carnation,"['pretty', 'attractive', 'beautiful', 'pink', 'red', 'white', 'alive', 'green', 'worn', 'yellow', 'circular', 'round', 'decorative', 'popular', 'small']","['chocolate', 'coffee', 'fruit']"
95,carp,"['aquatic', 'big', 'large', 'eaten', 'edible', 'freshwater', 'caught', 'alive', 'expensive', 'living', 'brown', 'ugly']","['wheat', 'cotton', 'beans']"
96,carriage,"['pulled', 'transport', 'traditional', 'big', 'large', 'comfortable', 'romantic', 'pretty', 'attractive', 'beautiful']","['wagon', 'horse', 'car']"
97,carrot,"['orange', 'eaten', 'edible', 'long', 'cooked', 'healthy', 'peeled', 'grown', 'hard', 'thin', 'boiled', 'sold', 'bought', 'purchased']","['cheese', 'tomato', 'tobacco']"
98,cart,"['wooden', 'pulled', 'drawn', 'dragged', 'old', 'useful', 'heavy', 'metal', 'slow', 'sturdy', 'transport', 'big', 'large']","['wagon', 'horse', 'carriage']"
99,castenets,"['wooden', 'Spanish', 'Hispanic', 'percussion', 'discs', 'noisy', 'loud', 'joined', 'circular', 'round', 'small', 'played', 'traditional', 'painted', 'decorative', 'entertaining', 'fun', 'decorated', 'annoying']","['books', 'letters', 'stories']"
100,castle,"['stone', 'big', 'large', 'old', 'fortified', 'protected', 'guarded', 'defended', 'defensive', 'protective', 'protecting', 'imposing', 'intimidating', 'formidable', 'inhabited', 'strong', 'history', 'expensive', 'grey', 'safe', 'medieval', 'fancy', 'cold', 'built', 'attacked', 'elaborate']","['city', 'garden', 'walls']"
101,cat,"['cute', 'independent', 'black', 'friendly', 'small', 'light', 'territorial']","['dog', 'mice', 'rabbit']"
102,catapault,"['elastic', 'ancient', 'medieval', 'historic', 'old', 'dangerous', 'strong', 'big', 'large', 'heavy', 'destructive', 'small', 'entertaining', 'fun']","['ship', 'sail', 'canoe']"
103,caterpillar,"['green', 'long', 'small', 'hairy', 'eaten', 'edible', 'hungry', 'thin', 'alive', 'creepy', 'slow', 'soft']","['fruit', 'prey', 'insects']"
104,cauliflower,"['white', 'eaten', 'edible', 'cooked', 'boiled', 'healthy', 'dull', 'circular', 'round', 'pretty', 'attractive', 'beautiful']","['cotton', 'tobacco', 'squash']"
105,celery,"['green', 'long', 'healthy', 'eaten', 'edible', 'thin', 'bitter', 'food']","['cheese', 'bacon', 'butter']"
106,cello,"['bowed', 'played', 'big', 'large', 'hollow', 'expensive', 'brown', 'noisy', 'loud']","['piano', 'guitar', 'percussion']"
107,centipede,"['long', 'small', 'brown', 'horrible', 'disgusting', 'ugly', 'gross', 'thin', 'black', 'creepy', 'fast', 'flexible', 'toxic', 'prey', 'alive', 'edible', 'eaten', 'green', 'living']","['fish', 'lizard', 'turtle']"
108,certificate,"['awarded', 'presented', 'proof', 'important', 'special', 'framed', 'official', 'stamped', 'displayed', 'earned', 'printed']","['signature', 'licence', 'proof']"
109,chain,"['linked', 'heavy', 'long', 'secure', 'strong', 'hard', 'decorative', 'shiny', 'big', 'large']","['rope', 'wire', 'chains']"
110,chainsaw,"['dangerous', 'sharp', 'metal', 'noisy', 'loud', 'electric', 'electrical', 'plastic', 'heavy', 'useful', 'practical', 'big', 'large', 'powered', 'fast', 'strong']","['rope', 'chain', 'hammer']"
111,chair,"['furniture', 'comfortable', 'padded', 'useful', 'hard', 'strong', 'uncomfortable', 'sturdy']","['table', 'seat', 'chairs']"
112,champagne,"['alcoholic', 'alcohol', 'expensive', 'drunk', 'yellow', 'popped', 'sparkling', 'exclusive', 'clear', 'transparent', 'fancy', 'liquid', 'white', 'pale', 'sold']","['wine', 'chocolate', 'vodka']"
113,chandelier,"['expensive', 'affluent', 'grand', 'decorative', 'big', 'large', 'beautiful', 'attractive', 'pretty', 'delicate', 'fragile', 'broken', 'shiny', 'bright', 'translucent', 'luxurious', 'impressive', 'electric', 'intricate']","['mirrors', 'bells', 'furniture']"
114,cheese,"['eaten', 'edible', 'yellow', 'food', 'fatty', 'blue', 'hard', 'orange', 'soft', 'firm', 'solid', 'mild', 'white', 'sliced', 'circular', 'round']","['butter', 'bread', 'meat']"
115,cheetah,"['spotted', 'fast', 'African', 'yellow', 'dangerous', 'vicious', 'thin', 'wild', 'skinny', 'brown', 'endangered', 'small', 'pretty', 'attractive', 'beautiful', 'handsome']","['deer', 'monkey', 'rabbit']"
116,cherry,"['red', 'small', 'sweet', 'circular', 'round', 'eaten', 'edible', 'delicious', 'healthy', 'purple', 'black', 'shiny', 'grown']","['orange', 'sugar', 'chocolate']"
117,chestnut,"['brown', 'edible', 'eaten', 'small', 'little', 'round', 'circular', 'rounded', 'sweet', 'hard', 'white', 'shiny', 'food', 'glossy', 'cooked', 'red', 'spherical']","['white', 'black', 'red']"
118,chicken,"['eaten', 'edible', 'meat', 'stupid', 'clever', 'dim', 'delicious', 'noisy', 'loud', 'noise', 'food', 'cooked', 'brown', 'scared', 'nervous']","['vegetables', 'pork', 'eggs']"
119,chipmunk,"['small', 'hairy', 'brown', 'striped', 'cute', 'Alvin', 'white', 'American', 'fast', 'wild', 'quick']","['squirrel', 'rabbit', 'monkey']"
120,chisel,"['sharp', 'useful', 'small', 'hit', 'flat', 'hard', 'held', 'rough', 'strong']","['hammer', 'drill', 'knife']"
121,chocolate,"['delicious', 'nice', 'brown', 'sweet', 'white', 'dark', 'melted', 'food', 'milk', 'fatty', 'eaten', 'edible', 'popular', 'rich', 'loved', 'shaped', 'smooth', 'square', 'rectangular', 'hard', 'comforting', 'broken', 'sold']","['milk', 'sugar', 'butter']"
122,cider,"['alcoholic', 'alcohol', 'sparkling', 'sweet', 'yellow', 'golden', 'drunk', 'delicious', 'liquid', 'brown', 'clear', 'transparent', 'sold', 'bought', 'cold', 'nice', 'strong']","['wine', 'ale', 'tobacco']"
123,cigar,"['smoked', 'brown', 'Cuban', 'expensive', 'burnt', 'ignited', 'fat', 'lit', 'long', 'rolled', 'thick', 'large', 'wealthy', 'big', 'thin', 'small', 'dangerous']","['tobacco', 'liquor', 'coffee']"
124,cigarette,"['harmful', 'smoked', 'white', 'lit', 'ignited', 'thin', 'long', 'orange', 'rolled', 'small', 'deadly', 'death', 'fun', 'dangerous', 'entertaining', 'relaxing', 'expensive', 'brown', 'enjoyable']","['tobacco', 'drink', 'alcohol']"
125,clam,"['eaten', 'edible', 'aquatic', 'small', 'food', 'soft', 'delicious', 'alive', 'expensive', 'living', 'disgusting', 'hard', 'slippery', 'big', 'large']","['fish', 'salt', 'corn']"
126,clamp,"['tight', 'hard', 'heavy', 'strong', 'yellow', 'useful', 'opened', 'bad', 'small', 'gripping']","['thread', 'chain', 'screw']"
127,clarinet,"['played', 'black', 'long', 'blown', 'thin', 'noisy', 'loud', 'classical', 'silver', 'held']","['trumpet', 'piano', 'percussion']"
128,cloak,"['worn', 'clothing', 'long', 'warm', 'dated', 'black', 'large', 'dark', 'evil', 'sinister', 'big', 'practical', 'invisible', 'wide', 'useful', 'heavy', 'leather']","['armour', 'tie', 'arrows']"
129,clock,"['circular', 'round', 'digital', 'useful', 'mechanical', 'analogue', 'modern', 'big', 'large', 'changed']","['bells', 'bell', 'ball']"
130,club,"['wooden', 'heavy', 'dangerous', 'metal', 'hard', 'lethal', 'blunt', 'long', 'smooth', 'violent', 'offensive', 'brutal', 'big', 'large', 'old', 'dense', 'thick', 'scary', 'solid', 'strong']","['sport', 'family', 'house']"
131,coat,"['warm', 'clothing', 'worn', 'long', 'protective', 'fashionable', 'thick', 'dry', 'big', 'large', 'comfortable', 'expensive', 'formal', 'short', 'white', 'smart']","['trousers', 'pants', 'skirt']"
132,cockerel,"['male', 'noisy', 'loud', 'aggressive', 'eaten', 'edible', 'black', 'funny', 'red', 'white', 'yellow', 'big', 'large', 'eggs', 'silly']","['rabbit', 'bass', 'pig']"
133,cockroach,"['disgusting', 'horrible', 'black', 'brown', 'small', 'dirty', 'scary', 'flat', 'alive', 'creepy', 'fast', 'big', 'large', 'dark', 'hated', 'disease']","['bee', 'spider', 'beetle']"
134,coconut,"['hairy', 'brown', 'hard', 'white', 'eaten', 'tropical', 'edible', 'round', 'circular', 'oval', 'soft', 'food', 'heavy', 'exotic', 'harvested', 'picked', 'sweet']","['sugar', 'rubber', 'salt']"
135,cod,"['eaten', 'edible', 'white', 'battered', 'endangered', 'caught', 'long', 'popular', 'cooked', 'bought', 'sold', 'large', 'big', 'food', 'British', 'thin', 'small', 'silver', 'alive', 'living', 'sleek']","['fish', 'salt', 'corn']"
136,codeine,"['medicine', 'prescribed', 'medication', 'medicinal', 'white', 'strong', 'taken', 'dangerous', 'useful']","['protein', 'proteins', 'tape']"
137,coffee,"['hot', 'brown', 'bitter', 'strong', 'drunk', 'liquid', 'rich', 'black', 'dark', 'warm', 'grown', 'popular', 'soluble', 'necessary', 'essential', 'ground', 'warming']","['milk', 'sugar', 'food']"
138,coffin,"['wooden', 'buried', 'carried', 'heavy', 'long', 'final', 'ominous', 'rectangular', 'burnt', 'square', 'big', 'large', 'small', 'hollow', 'expensive', 'brown', 'black', 'death']","['tomb', 'box', 'bed']"
139,coin,"['metallic', 'circular', 'round', 'money', 'valuable', 'small', 'currency', 'silver', 'bronze', 'shiny', 'exchanged', 'light', 'tails', 'spent', 'useful', 'heads', 'flipped', 'stamped', 'forged', 'flat', 'gold']","['coins', 'money', 'paper']"
140,colander,"['equipment', 'useful', 'circular', 'round', 'rounded']","['salt', 'sugar', 'tobacco']"
141,comb,"['small', 'useful', 'light', 'thin', 'flat', 'long']","['nail', 'thread', 'nails']"
142,cork,"['brown', 'popped', 'wooden', 'small', 'removed', 'released', 'light', 'natural', 'soft', 'flexible', 'yellow', 'circular', 'round', 'compressed', 'synthetic']","['salt', 'oil', 'butter']"
143,corkscrew,"['wooden', 'useful', 'curly', 'sharp', 'twisted', 'hard']","['bells', 'radio', 'whistle']"
144,corn,"['yellow', 'golden', 'grown', 'planted', 'eaten', 'edible', 'cooked', 'food', 'grain', 'harvested', 'small', 'picked', 'delicious', 'maize', 'sweet']","['wheat', 'beans', 'cotton']"
145,courgette,"['green', 'long', 'cooked', 'eaten', 'edible', 'soft', 'yellow', 'grown', 'thin', 'smooth', 'food', 'healthy', 'Mediterranean', 'raw', 'boiled', 'round', 'circular', 'small', 'boring']","['wine', 'piano', 'cheese']"
