word,cohyponyms
troopship,"['frigate', 'cruiser', 'warship', 'iceboat', 'tender', 'carrier', 'flattop', 'battleship', 'battlewagon', 'corvette', 'destroyer', 'ironclad', 'privateer', 'submersible', 'dreadnaught', 'dreadnought', 'pigboat', 'submarine', 'sub', 'derelict', 'bounty', 'flagship', 'hulk', 'icebreaker', 'lightship', 'mayflower', 'minelayer', 'minesweeper', 'pirate', 'shipwreck', 'steamer', 'steamship', 'whaler', 'wreck', 'longship', 'galley', 'scooter', 'freighter', 'merchantman', 'bottom', 'cattleship', 'containership', 'oiler', 'tanker', 'liner', 'corsair', 'tramp', 'drekkar', 'scow', 'cutter', 'monoreme', 'yawl', 'supertanker', 'sternwheeler', 'wherry', 'showboat', 'gig', 'constitution', 'nautilus', 'caisson', 'humvee', 'picket', 'tank', 'technical', 'warplane', 'bareboat', 'boat', 'merrimac', 'monitor', 'ship', 'shrimper', 'yacht', 'panzer', 'bomber', 'fighter', 'ark', 'flatboat', 'lighter', 'barge', 'hoy', 'bumboat', 'narrowboat', 'catamaran', 'ferryboat', 'ferry', 'fireboat', 'gondola', 'gunboat', 'junk', 'longboat', 'lugger', 'mackinaw', 'packet', 'mailboat', 'powerboat', 'motorboat', 'punt', 'steamboat', 'surfboat', 'pinnace', 'towboat', 'tug', 'tugboat', 'tower', 'trawler', 'dragger', 'trireme', 'bark', 'barque', 'brig', 'brigantine', 'clipper', 'dhow', 'felucca', 'galleon', 'indiaman', 'ketch', 'rigger', 'sailboat', 'schooner', 'sloop', 'smack', 'windjammer', 'dandy', 'crayer', 'interceptor', 'kamikaze', 'dredger', 'houseboat', 'pontoon', 'launch', 'outboard', 'speedboat', 'keelboat', 'lifeboat', 'whaleboat', 'canoe', 'cockleshell', 'coracle', 'dory', 'rowboat', 'dinghy', 'skiff', 'carrack', 'carack', 'catboat', 'sharpie', 'trimaran', 'sharpshooter', 'knockabout', 'raceabout', 'hydroplane', 'hydrofoil', 'birchbark', 'pirogue', 'dugout', 'kayak', 'shell', 'sampan', 'jolly']"
stable,"['hall', 'house', 'temple', 'lodge', 'villa', 'barn', 'hencoop', 'henhouse', 'coop', 'stalls', 'bathhouse', 'chapterhouse', 'bagnio', 'cowhouse', 'cowshed', 'byre', 'cowbarn', 'capitol', 'courthouse', 'conservatory', 'court', 'residence', 'manse', 'tabernacle', 'canteen', 'basilica', 'palace', 'sanatorium', 'cathedral', 'shambles', 'abattoir', 'butchery', 'slaughterhouse', 'architecture', 'aviary', 'volary', 'center', 'centre', 'clubhouse', 'club', 'dorm', 'dormitory', 'feedlot', 'firetrap', 'summerhouse', 'gazebo', 'glasshouse', 'greenhouse', 'hotel', 'library', 'ministry', 'mortuary', 'morgue', 'observatory', 'outbuilding', 'packinghouse', 'planetarium', 'presbytery', 'restaurant', 'eatery', 'rink', 'rotunda', 'ruin', 'school', 'schoolhouse', 'skyscraper', 'tavern', 'theatre', 'theater', 'brothel', 'bordello', 'bawdyhouse', 'cathouse', 'whorehouse', 'tenement', 'casino', 'belvedere', 'chancellery', 'customhouse', 'customshouse', 'pentagon', 'statehouse', 'hothouse', 'orangery', 'guildhall', 'lyceum', 'fleabag', 'inn', 'hostelry', 'auberge', 'hostel', 'spa', 'ritz', 'resort', 'boardinghouse', 'bungalow', 'cottage', 'cabin', 'chalet', 'dollhouse', 'duplex', 'farmhouse', 'gatehouse', 'guesthouse', 'hacienda', 'maisonnette', 'maisonette', 'mansion', 'saltbox', 'soddy', 'icehouse', 'smokehouse', 'clinic', 'infirmary', 'hospital', 'crematorium', 'crematory', 'remise', 'garage', 'doghouse', 'kennel', 'jakes', 'outhouse', 'privy', 'shed', 'bethel', 'chapel', 'church', 'conventicle', 'meetinghouse', 'masjid', 'musjid', 'mosque', 'shrine', 'synagogue', 'bistro', 'brasserie', 'brewpub', 'coffeehouse', 'cafe', 'cafeteria', 'diner', 'grillroom', 'grill', 'lunchroom', 'rotisserie', 'steakhouse', 'chophouse', 'teashop', 'teahouse', 'tearoom', 'ice', 'conservatoire', 'wtc', 'taphouse', 'pothouse', 'saloon', 'pub', 'rathskeller', 'shebeen', 'zikkurat', 'zikurat', 'ziggurat', 'cinema', 'opera', 'consulate', 'embassy', 'gildhall', 'khan', 'caravansary', 'caravanserai', 'imaret', 'posthouse', 'roadhouse', 'motel', 'chateau', 'dacha', 'flophouse', 'dosshouse', 'manor', 'castle', 'mcmansion', 'deanery', 'rectory', 'parsonage', 'vicarage', 'cloister', 'vatican', 'brownstone', 'sudatorium', 'sudatory', 'dispensary', 'creche', 'pesthouse', 'lazaret', 'lazarette', 'lazaretto', 'institution', 'asylum', 'sanitarium', 'sanatarium', 'carport', 'apiary', 'boathouse', 'toolhouse', 'toolshed', 'woodshed', 'chantry', 'abbey', 'duomo', 'kirk', 'caaba', 'kaaba', 'oracle', 'stupa', 'tope', 'pagoda', 'pantheon', 'parthenon', 'caff', 'cybercafe', 'estaminet', 'automat', 'buttery', 'alehouse', 'babel', 'bioscope', 'fleapit', 'multiplex', 'alcazar', 'alhambra', 'tuileries', 'versailles', 'convent', 'monastery', 'priory', 'madhouse', 'nuthouse', 'bedlam', 'minster']"
scraper,"['bodkin', 'plane', 'hammer', 'pestle', 'pick', 'auger', 'saw', 'awl', 'bevel', 'bill', 'billhook', 'threader', 'starter', 'crank', 'dibble', 'dibber', 'file', 'float', 'graver', 'pointrel', 'pointel', 'gutter', 'marlinespike', 'marlingspike', 'marlinspike', 'opener', 'pallet', 'pincer', 'tweezer', 'pitchfork', 'pliers', 'plyers', 'snake', 'plunger', 'ravehook', 'sandblaster', 'screwdriver', 'shovel', 'spatula', 'spreader', 'square', 'straightedge', 'trowel', 'weeder', 'wrench', 'spanner', 'burnisher', 'pricker', 'bradawl', 'scriber', 'scribe', 'nailfile', 'rasp', 'scauper', 'scorper', 'clawhammer', 'mallet', 'beetle', 'sledgehammer', 'sledge', 'maul', 'plessor', 'plexor', 'percussor', 'latchstring', 'icepick', 'toothpick', 'bullnose', 'jointer', 'spokeshave', 'crimper', 'bucksaw', 'hacksaw', 'handsaw', 'whipsaw', 'scoop', 'slice', 'slick', 'burr', 'die', 'gavel', 'corkscrew', 'backsaw', 'splitsaw', 'ripsaw', 'pitsaw', 'jigsaw', 'abrader', 'abradant', 'bender', 'clincher', 'comb', 'drill', 'eolith', 'fork', 'gang', 'grapple', 'grapnel', 'grappler', 'hack', 'hoe', 'jack', 'neolith', 'paleolith', 'pounder', 'muller', 'plough', 'plow', 'puncher', 'punch', 'rake', 'ram', 'rounder', 'strickle', 'style', 'stylus', 'tamper', 'tamp', 'tap', 'upset', 'swage', 'hone', 'heckle', 'hatchel', 'bit', 'blade', 'cutlery', 'cutter', 'wimble', 'gimlet', 'borer', 'reamer', 'trepan', 'hayfork', 'edger', 'mower', 'crampoon', 'crampon', 'scuffle', 'jackscrew', 'ard', 'buffer', 'polisher', 'smoother', 'sander', 'planer', 'router', 'stamper', 'rammer', 'stemmer', 'bur', 'counterbore', 'countersink', 'razorblade', 'middlebreaker', 'lister', 'sokha', 'jackhammer', 'triphammer', 'bandsaw', 'chainsaw', 'gangsaw', 'fretsaw', 'sawmill', 'stamp', 'lopper', 'pruner', 'adze', 'adz', 'ax', 'axe', 'chisel', 'gouge', 'hob', 'knife', 'pickaxe', 'pickax', 'razor', 'scissors', 'scythe', 'shear', 'sickle']"
cygnet,"['whooper', 'trumpeter', 'jabiru', 'broadbill', 'fledgling', 'fledgeling', 'nestling', 'eaglet', 'biddy', 'chick', 'coscoroba', 'cob', 'pen', 'calf', 'parr', 'seriema', 'stilt', 'jacksnipe', 'hatchling', 'orphan', 'spat', 'waterfowl', 'waterbird', 'swan', 'wader', 'swamphen', 'gallinule', 'seabird', 'seafowl', 'baby', 'whelp', 'pup', 'cub', 'kit', 'suckling', 'kitty', 'kitten', 'foal', 'piglet', 'shoat', 'piggy', 'shote', 'heifer', 'bullock', 'lamb', 'fawn', 'whitebait', 'brit', 'britt', 'screamer', 'stork', 'shoebill', 'shoebird', 'ibis', 'spoonbill', 'flamingo', 'heron', 'crane', 'courlan', 'limpkin', 'chunga', 'rail', 'bustard', 'hemipode', 'ortygan', 'shorebird', 'moorhen', 'auk', 'puffin', 'puppy', 'dogy', 'leppy', 'dogie', 'maverick', 'filly', 'colt', 'lambkin', 'hog', 'hogget', 'hogg', 'teg', 'duck', 'goose', 'adjutant', 'marabou', 'marabout', 'openbill', 'saddlebill', 'flinthead', 'egret', 'boatbill', 'bittern', 'weka', 'crake', 'notornis', 'takahe', 'coot', 'plover', 'sandpiper', 'surfbird', 'woodcock', 'snipe', 'curlew', 'godwit', 'stiltbird', 'longlegs', 'avocet', 'oystercatcher', 'phalarope', 'pratincole', 'glareole', 'courser', 'larid', 'skimmer', 'jaeger', 'auklet', 'razorbill', 'dovekie', 'guillemot', 'diver', 'loon', 'grebe', 'pelican', 'gannet', 'cormorant', 'anhinga', 'darter', 'snakebird', 'tropicbird', 'penguin', 'albatross', 'mollymawk', 'petrel', 'ridgel', 'ridgil', 'ridgling', 'ridgeling', 'drake', 'duckling', 'dabbler', 'mallard', 'teal', 'widgeon', 'wigeon', 'shoveller', 'shoveler', 'pintail', 'sheldrake', 'dipper', 'bufflehead', 'butterball', 'goldeneye', 'whistler', 'canvasback', 'pochard', 'redhead', 'bluebill', 'scaup', 'gosling', 'gander', 'graylag', 'greylag', 'brent', 'brant', 'honker', 'barnacle', 'chaja', 'corncrake', 'kildeer', 'killdeer', 'dotrel', 'dotterel', 'lapwing', 'peewit', 'pewit', 'turnstone', 'stint', 'dunlin', 'greenshank', 'redshank', 'yellowlegs', 'knot', 'greyback', 'grayback', 'sanderling', 'ruff', 'tattler', 'dowitcher', 'kaki', 'gull', 'seagull', 'tern', 'bonxie', 'skua', 'murre', 'dabchick', 'solan', 'booby', 'adelie', 'gooney', 'goony', 'goonie', 'fulmar', 'shearwater']"
arborvitae,"['cedar', 'tarwood', 'pine', 'larch', 'fir', 'spruce', 'hemlock', 'cathaya', 'cypress', 'metasequoia', 'keteleeria', 'araucaria', 'podocarp', 'yacca', 'totara', 'kahikatea', 'rimu', 'nagi', 'miro', 'matai', 'yew', 'pinyon', 'pinon', 'lodgepole', 'tamarack', 'deodar', 'sugi', 'kawaka', 'pahautea', 'sequoia', 'redwood', 'juniper', 'kauri', 'kaury', 'tanekaha', 'ponderosa', 'gnetum', 'gingko', 'ginkgo', 'conifer']"
bustard,"['jabiru', 'seriema', 'broadbill', 'stilt', 'jacksnipe', 'trumpeter', 'whooper', 'greyback', 'grayback', 'stork', 'shoebill', 'shoebird', 'ibis', 'spoonbill', 'flamingo', 'heron', 'crane', 'courlan', 'limpkin', 'chunga', 'rail', 'hemipode', 'ortygan', 'shorebird', 'adjutant', 'marabou', 'marabout', 'openbill', 'saddlebill', 'flinthead', 'egret', 'boatbill', 'bittern', 'weka', 'crake', 'notornis', 'takahe', 'coot', 'plover', 'sandpiper', 'surfbird', 'woodcock', 'snipe', 'curlew', 'godwit', 'stiltbird', 'longlegs', 'avocet', 'oystercatcher', 'phalarope', 'pratincole', 'glareole', 'courser', 'corncrake', 'kildeer', 'killdeer', 'dotrel', 'dotterel', 'lapwing', 'peewit', 'pewit', 'turnstone', 'stint', 'dunlin', 'greenshank', 'redshank', 'yellowlegs', 'knot', 'sanderling', 'ruff', 'tattler', 'dowitcher', 'kaki', 'waterfowl', 'waterbird', 'swan', 'wader', 'swamphen', 'gallinule', 'seabird', 'seafowl', 'screamer', 'coscoroba', 'cob', 'pen', 'cygnet', 'moorhen', 'auk', 'puffin', 'duck', 'goose', 'larid', 'skimmer', 'jaeger', 'auklet', 'razorbill', 'dovekie', 'guillemot', 'diver', 'loon', 'grebe', 'pelican', 'gannet', 'cormorant', 'anhinga', 'darter', 'snakebird', 'tropicbird', 'penguin', 'albatross', 'mollymawk', 'petrel', 'reeve', 'willet', 'drake', 'duckling', 'dabbler', 'mallard', 'teal', 'widgeon', 'wigeon', 'shoveller', 'shoveler', 'pintail', 'sheldrake', 'dipper', 'bufflehead', 'butterball', 'goldeneye', 'whistler', 'canvasback', 'pochard', 'redhead', 'bluebill', 'scaup', 'gosling', 'gander', 'graylag', 'greylag', 'brent', 'brant', 'honker', 'barnacle', 'chaja', 'gull', 'seagull', 'tern', 'bonxie', 'skua', 'murre', 'dabchick', 'solan', 'booby', 'adelie', 'gooney', 'goony', 'goonie', 'fulmar', 'shearwater']"
condor,"['buzzard', 'aegypiidae', 'cathartid', 'griffon', 'lammergeyer', 'lammergeier']"
killdeer,"['kildeer', 'dotrel', 'dotterel', 'lapwing', 'peewit', 'pewit', 'turnstone', 'stilt', 'jacksnipe', 'greyback', 'grayback', 'plover', 'sandpiper', 'surfbird', 'woodcock', 'snipe', 'curlew', 'godwit', 'stiltbird', 'longlegs', 'avocet', 'oystercatcher', 'phalarope', 'pratincole', 'glareole', 'courser', 'stint', 'dunlin', 'greenshank', 'redshank', 'yellowlegs', 'knot', 'sanderling', 'ruff', 'tattler', 'dowitcher', 'kaki', 'reeve', 'willet']"
icepick,"['toothpick', 'bodkin', 'awl', 'bevel', 'bill', 'billhook', 'threader', 'starter', 'crank', 'dibble', 'dibber', 'file', 'float', 'graver', 'pointrel', 'pointel', 'gutter', 'hammer', 'marlinespike', 'marlingspike', 'marlinspike', 'opener', 'pallet', 'pestle', 'pick', 'pincer', 'tweezer', 'pitchfork', 'plane', 'pliers', 'plyers', 'auger', 'snake', 'plunger', 'ravehook', 'sandblaster', 'saw', 'scraper', 'screwdriver', 'shovel', 'spatula', 'spreader', 'square', 'straightedge', 'trowel', 'weeder', 'wrench', 'spanner', 'burnisher', 'pricker', 'bradawl', 'scriber', 'scribe', 'nailfile', 'rasp', 'scauper', 'scorper', 'clawhammer', 'mallet', 'beetle', 'sledgehammer', 'sledge', 'maul', 'plessor', 'plexor', 'percussor', 'latchstring', 'bullnose', 'jointer', 'spokeshave', 'crimper', 'bucksaw', 'hacksaw', 'handsaw', 'whipsaw', 'scoop', 'slice', 'slick', 'gavel', 'corkscrew', 'backsaw', 'splitsaw', 'ripsaw', 'pitsaw', 'lopper', 'pruner']"
lycaenid,"['emperor', 'nymphalid', 'ringlet', 'danaid', 'pierid', 'tortoiseshell', 'admiral', 'viceroy', 'anglewing', 'comma', 'fritillary', 'peacock', 'monarch', 'blue', 'copper', 'hairstreak', 'silverspot', 'tortrix', 'butterfly', 'moth', 'miller', 'tortricid', 'lymantriid', 'geometrid', 'pyralid', 'tineoid', 'gelechiid', 'noctuid', 'hawkmoth', 'sphingid', 'bombycid', 'saturniid', 'arctiid', 'lasiocampid', 'browntail', 'tineid', 'gracilariid', 'splitworm', 'underwing', 'armyworm', 'cecropia', 'tusser', 'tussore', 'tusseh', 'tussah', 'tussur', 'cinnabar', 'egger', 'eggar', 'lappet']"
alcazar,"['alhambra', 'tuileries', 'versailles', 'abbey', 'bastille', 'presidio', 'sconce', 'court', 'deanery', 'manse', 'palace', 'rectory', 'parsonage', 'vicarage', 'cloister', 'vatican', 'bastion', 'redoubt', 'convent', 'monastery', 'priory', 'kremlin', 'nunnery', 'charterhouse', 'friary', 'lamasery', 'fortification', 'munition', 'fortress', 'fort', 'outwork', 'stronghold', 'fastness', 'dugout', 'bunker', 'castle', 'defilade', 'entrenchment', 'intrenchment', 'scarp', 'escarpment', 'escarp', 'fieldwork', 'lunette', 'palisade', 'parapet', 'breastwork', 'stockade', 'contravallation', 'crownwork', 'hornwork', 'abatis', 'abattis', 'citadel', 'blockhouse', 'hold', 'keep', 'dungeon', 'donjon', 'foxhole', 'retrenchment', 'machicolation', 'acropolis']"
apiary,"['boathouse', 'toolhouse', 'toolshed', 'woodshed', 'remise', 'garage', 'doghouse', 'kennel', 'jakes', 'outhouse', 'privy', 'shed', 'carport']"
goldilocks,"['sandwort', 'helleborine', 'strawflower', 'catchfly', 'wallflower', 'stock', 'gillyflower', 'ageratum', 'cornflower', 'coneflower', 'cudweed', 'maravilla', 'twayblade', 'bloomer', 'paeony', 'peony', 'pilewort', 'windflower', 'anemone', 'aquilege', 'columbine', 'aquilegia', 'delphinium', 'nigella', 'spathiphyllum', 'calla', 'pink', 'lychnis', 'soapwort', 'silene', 'campion', 'cowherb', 'umbrellawort', 'portulaca', 'heliophila', 'candytuft', 'schizopetalon', 'poppy', 'corydalis', 'composite', 'ammobium', 'aster', 'daisy', 'calendula', 'catananche', 'bluebottle', 'chrysanthemum', 'mistflower', 'cosmea', 'cosmos', 'dahlia', 'filago', 'gazania', 'sunflower', 'helianthus', 'tidytips', 'marguerite', 'cineraria', 'marigold', 'pyrethrum', 'tithonia', 'ursinia', 'xeranthemum', 'zinnia', 'bartonia', 'orchid', 'cyclamen', 'sowbread', 'shortia', 'centaury', 'gentian', 'begonia', 'wandflower', 'bellwort', 'tuberose', 'commelina', 'scabious', 'scabiosa', 'achimenes', 'streptocarpus', 'scorpionweed', 'phacelia', 'snapdragon', 'calceolaria', 'slipperwort', 'gerardia', 'toadflax', 'veronica', 'speedwell', 'browallia', 'petunia', 'schizanthus', 'verbena', 'vervain', 'valerian', 'thimbleweed', 'snowdrop', 'honeysuckle', 'larkspur', 'longroot', 'carnation', 'swallowwort', 'celandine', 'bocconia', 'creamcups', 'everlasting', 'mayweed', 'tansy', 'crownbeard', 'ruddles', 'mum', 'mirasol', 'girasol', 'orchis', 'aerides', 'angrecum', 'puttyroot', 'arethusa', 'bletia', 'brassavola', 'caladenia', 'calanthe', 'calypso', 'cattleya', 'coelogyne', 'helmetflower', 'swanflower', 'swanneck', 'cymbid', 'cymbidium', 'cypripedia', 'dendrobium', 'disa', 'epidendron', 'tongueflower', 'laelia', 'liparis', 'masdevallia', 'maxillaria', 'odontoglossum', 'oncidium', 'phaius', 'pleurothallis', 'pogonia', 'greenhood', 'sobralia', 'stanhopea', 'stelis', 'vanda', 'vanilla', 'rosita', 'gentianella', 'agueweed', 'felwort', 'whitlavia', 'fiddleneck', 'gypsyweed', 'rosinweed', 'cottonweed', 'rhodanthe', 'immortelle', 'wingstem', 'gravelweed', 'frostweed', 'hortensia', 'nerveroot', 'chatterbox', 'chafeweed']"
candytuft,"['sandwort', 'helleborine', 'strawflower', 'coneflower', 'catchfly', 'wallflower', 'stock', 'gillyflower', 'ageratum', 'cornflower', 'cudweed', 'maravilla', 'twayblade', 'bloomer', 'paeony', 'peony', 'pilewort', 'windflower', 'anemone', 'aquilege', 'columbine', 'aquilegia', 'delphinium', 'nigella', 'spathiphyllum', 'calla', 'pink', 'lychnis', 'soapwort', 'silene', 'campion', 'cowherb', 'umbrellawort', 'portulaca', 'heliophila', 'schizopetalon', 'poppy', 'corydalis', 'composite', 'ammobium', 'aster', 'daisy', 'calendula', 'catananche', 'bluebottle', 'chrysanthemum', 'mistflower', 'cosmea', 'cosmos', 'dahlia', 'filago', 'gazania', 'sunflower', 'helianthus', 'tidytips', 'marguerite', 'cineraria', 'marigold', 'pyrethrum', 'tithonia', 'ursinia', 'xeranthemum', 'zinnia', 'bartonia', 'orchid', 'cyclamen', 'sowbread', 'shortia', 'centaury', 'gentian', 'begonia', 'wandflower', 'bellwort', 'tuberose', 'commelina', 'scabious', 'scabiosa', 'achimenes', 'streptocarpus', 'scorpionweed', 'phacelia', 'snapdragon', 'calceolaria', 'slipperwort', 'gerardia', 'toadflax', 'veronica', 'speedwell', 'browallia', 'petunia', 'schizanthus', 'verbena', 'vervain', 'valerian', 'thimbleweed', 'snowdrop', 'honeysuckle', 'larkspur', 'longroot', 'carnation', 'swallowwort', 'celandine', 'bocconia', 'creamcups', 'everlasting', 'mayweed', 'tansy', 'crownbeard', 'goldilocks', 'ruddles', 'mum', 'mirasol', 'girasol', 'orchis', 'aerides', 'angrecum', 'puttyroot', 'arethusa', 'bletia', 'brassavola', 'caladenia', 'calanthe', 'calypso', 'cattleya', 'coelogyne', 'helmetflower', 'swanflower', 'swanneck', 'cymbid', 'cymbidium', 'cypripedia', 'dendrobium', 'disa', 'epidendron', 'tongueflower', 'laelia', 'liparis', 'masdevallia', 'maxillaria', 'odontoglossum', 'oncidium', 'phaius', 'pleurothallis', 'pogonia', 'greenhood', 'sobralia', 'stanhopea', 'stelis', 'vanda', 'vanilla', 'rosita', 'gentianella', 'agueweed', 'felwort', 'whitlavia', 'fiddleneck', 'gypsyweed', 'oxeye', 'rosinweed', 'cottonweed', 'rhodanthe', 'immortelle', 'wingstem', 'gravelweed', 'frostweed', 'hortensia', 'nerveroot', 'chatterbox', 'angiocarp', 'dicot', 'magnoliopsid', 'dicotyledon', 'exogen', 'liliopsid', 'endogen', 'monocot', 'monocotyledon', 'flower', 'wildflower', 'madderwort', 'jiqui', 'acerola', 'cyrilliaceae', 'pasqueflower', 'redmaids', 'bitterroot', 'flameflower', 'brittlebush', 'incienso', 'sunray', 'engelmannia', 'fleabane', 'gaillardia', 'goldenbush', 'heliopsis', 'goldfields', 'hawkbit', 'edelweiss', 'snakeroot', 'gayfeather', 'butterweed', 'ragwort', 'goldenrod', 'goatsbeard', 'waxflower', 'pinesap', 'bluebell', 'innocense', 'munjeet', 'madder', 'snowball', 'silverrod', 'chafeweed']"
tench,"['carp', 'dace', 'chub', 'shiner', 'roach', 'rudd', 'minnow', 'gudgeon', 'goldfish', 'topminnow', 'silversides', 'silverfish', 'loach', 'cyprinid', 'catostomid', 'cyprinodont', 'poeciliid', 'characid', 'characin', 'sucker', 'killifish', 'swordtail', 'helleri', 'guppy', 'mosquitofish', 'platy', 'mollie', 'molly', 'tetra', 'piranha', 'pirana', 'caribe', 'buffalofish', 'redhorse', 'mummichog', 'mayfish', 'rivulus', 'flagfish']"
phalarope,"['stilt', 'jacksnipe', 'greyback', 'grayback', 'jabiru', 'plover', 'sandpiper', 'surfbird', 'woodcock', 'snipe', 'curlew', 'godwit', 'stiltbird', 'longlegs', 'avocet', 'oystercatcher', 'pratincole', 'glareole', 'courser', 'seriema', 'kildeer', 'killdeer', 'dotrel', 'dotterel', 'lapwing', 'peewit', 'pewit', 'turnstone', 'stint', 'dunlin', 'greenshank', 'redshank', 'yellowlegs', 'knot', 'sanderling', 'ruff', 'tattler', 'dowitcher', 'kaki', 'reeve', 'willet', 'stork', 'shoebill', 'shoebird', 'ibis', 'spoonbill', 'flamingo', 'heron', 'crane', 'courlan', 'limpkin', 'chunga', 'rail', 'bustard', 'hemipode', 'ortygan', 'trumpeter', 'shorebird', 'adjutant', 'marabou', 'marabout', 'openbill', 'saddlebill', 'flinthead', 'egret', 'broadbill', 'boatbill', 'bittern', 'whooper', 'weka', 'crake', 'notornis', 'takahe', 'coot', 'corncrake']"
halfbeak,"['billfish', 'whiting', 'needlefish', 'gar', 'sandfish', 'ribbonfish', 'boarfish', 'ling', 'sardine', 'perch', 'sunfish', 'tilefish', 'mullet', 'flathead', 'catfish', 'wolffish', 'moonfish', 'squirrelfish', 'prickleback', 'topminnow', 'bullhead', 'cusk', 'tuna', 'snapper', 'bream', 'angelfish', 'gudgeon', 'malacopterygian', 'cornetfish', 'pipefish', 'snipefish', 'shrimpfish', 'trumpetfish', 'saury', 'acanthopterygian', 'sweeper', 'ganoid', 'ostariophysi', 'gadoid', 'eel', 'clupeid', 'anchovy', 'salmonid', 'whitefish', 'smelt', 'tarpon', 'bonefish', 'argentine', 'lanternfish', 'lizardfish', 'snakefish', 'greeneye', 'lancetfish', 'opah', 'oarfish', 'seahorse', 'timucu', 'anomalops', 'dory', 'stickleback', 'batfish', 'monkfish', 'angler', 'anglerfish', 'lotte', 'goosefish', 'allmouth', 'toadfish', 'frogfish', 'percoid', 'percoidean', 'remora', 'suckerfish', 'silversides', 'silverside', 'barracuda', 'launce', 'dragonet', 'scorpaenoid', 'plectognath', 'flatfish', 'grindle', 'bowfin', 'dogfish', 'paddlefish', 'duckbill', 'sturgeon', 'garpike', 'garfish', 'loach', 'cyprinid', 'catostomid', 'cyprinodont', 'poeciliid', 'characid', 'characin', 'silurid', 'mudcat', 'goujon', 'cod', 'codfish', 'haddock', 'pollock', 'pollack', 'hake', 'torsk', 'grenadier', 'rattail', 'elver', 'moray', 'conger', 'shad', 'alewife', 'menhaden', 'herring', 'pilchard', 'salmon', 'trout', 'char', 'charr', 'cisco', 'sparling', 'capelan', 'caplin', 'capelin', 'tenpounder', 'ladyfish', 'dealfish', 'soldierfish', 'oysterfish', 'brotula', 'pearlfish', 'robalo', 'pike', 'centrarchid', 'bass', 'serranid', 'surffish', 'surfperch', 'bigeye', 'catalufa', 'cardinalfish', 'bluefish', 'cobia', 'carangid', 'dolphinfish', 'dolphin', 'mahimahi', 'blanquillo', 'cichlid', 'grunt', 'sparid', 'sciaenid', 'spadefish', 'demoiselle', 'damselfish', 'wrasse', 'pollyfish', 'parrotfish', 'threadfin', 'jawfish', 'stargazer', 'blennioid', 'goby', 'sleeper', 'archerfish', 'surgeonfish', 'gempylid', 'cutlassfish', 'hairtail', 'scombroid', 'stromateid', 'butterfish', 'clingfish', 'tripletail', 'mojarra', 'sharksucker', 'whalesucker', 'jacksmelt', 'lingcod', 'scorpaenid', 'sculpin', 'lumpfish', 'snailfish', 'seasnail', 'poacher', 'greenling', 'gurnard', 'butterflyfish', 'triggerfish', 'filefish', 'trunkfish', 'boxfish', 'globefish', 'puffer', 'pufferfish', 'blowfish', 'headfish', 'mola', 'flounder', 'holibut', 'halibut', 'tonguefish', 'sole', 'hausen', 'beluga', 'pout', 'eelpout', 'blackfish', 'dollarfish', 'hogfish', 'pigfish', 'bonito', 'driftfish', 'crossopterygian', 'lobefin', 'lungfish', 'teleost', 'teleostan', 'coelacanth', 'ceratodus', 'carp', 'tench', 'dace', 'chub', 'shiner', 'roach', 'rudd', 'minnow', 'goldfish', 'sucker', 'killifish', 'swordtail', 'helleri', 'guppy', 'mosquitofish', 'platy', 'mollie', 'molly', 'tetra', 'piranha', 'pirana', 'caribe', 'sheatfish', 'hornpout', 'codling', 'burbot', 'schrod', 'scrod', 'allice', 'allis', 'sild', 'brisling', 'sprat', 'redfish', 'sockeye', 'chinook', 'chum', 'coho', 'cohoe', 'snook', 'muskellunge', 'pickerel', 'crappie', 'pumpkinseed', 'soapfish', 'flamefish', 'conchfish', 'jack', 'horsefish', 'horsehead', 'pompano', 'pilotfish', 'scad', 'bolti', 'muttonfish', 'schoolmaster', 'yellowtail', 'margate', 'tomtate', 'cottonwick', 'porkfish', 'pompon', 'sheepshead', 'pinfish', 'pomfret', 'porgy', 'drum', 'drumfish', 'jewfish', 'mulloway', 'maigre', 'maiger', 'croaker', 'goatfish', 'surmullet', 'liza', 'rudderfish', 'chaetodon', 'beaugregory', 'puddingwife', 'bluehead', 'tautog', 'bergall', 'cunner', 'barbu', 'blenny', 'clinid', 'pikeblenny', 'gunnel', 'ghostfish', 'wrymouth', 'mudskipper', 'mudspringer', 'doctorfish', 'escolar', 'oilfish', 'mackerel', 'tunny', 'skipjack', 'swordfish', 'sailfish', 'louvar', 'squaretail', 'palometa', 'harvestfish', 'barrelfish', 'skilletfish', 'scorpionfish', 'lionfish', 'stonefish', 'rockfish', 'grubby', 'lumpsucker', 'pogge', 'alligatorfish', 'convictfish', 'searobin', 'oldwench', 'oldwife', 'leatherfish', 'leatherjacket', 'cowfish', 'porcupinefish', 'balloonfish', 'burrfish', 'plaice', 'whiff', 'windowpane', 'brill', 'turbot', 'hogchoker']"
